role,question,expected_keywords,difficulty,ideal_answer
Data Scientist,What is overfitting?,overfitting,Easy,"overfitting is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is underfitting?,underfitting,Easy,"underfitting is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is regression?,regression,Easy,"regression is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is classification?,classification,Easy,"classification is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is precision?,precision,Easy,"precision is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is recall?,recall,Easy,"recall is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is accuracy?,accuracy,Easy,"accuracy is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is feature engineering?,"feature,engineering",Easy,"feature engineering is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is a dataset?,dataset,Easy,"a dataset is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is data preprocessing?,"data,preprocessing",Easy,"data preprocessing is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is cross validation?,"cross,validation",Medium,"cross validation is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is feature selection?,"feature,selection",Medium,"feature selection is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is bias variance tradeoff?,"bias,variance,tradeoff",Medium,"bias variance tradeoff is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,Explain confusion matrix.,"confusion,matrix",Medium,"confusion matrix. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Scientist,What is ROC AUC?,"roc,auc",Medium,"ROC AUC is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is imbalanced data?,"imbalanced,data",Medium,"imbalanced data is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is ensemble learning?,"ensemble,learning",Medium,"ensemble learning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,Explain decision trees.,"decision,trees",Medium,"decision trees. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Scientist,What is model evaluation?,"model,evaluation",Medium,"model evaluation is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,What is dimensionality reduction?,"dimensionality,reduction",Medium,"dimensionality reduction is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,Explain PCA.,pca,Hard,"PCA. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Scientist,Explain SHAP values.,"shap,values",Hard,"SHAP values. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Scientist,What is data leakage?,"data,leakage",Hard,"data leakage is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,How would you optimize a model?,"would,you,optimize,model",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
Data Scientist,Explain Bayesian optimization.,"bayesian,optimization",Hard,"Bayesian optimization. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Scientist,What is concept drift?,"concept,drift",Hard,"concept drift is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,Explain statistical significance.,"statistical,significance",Hard,"statistical significance. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
Data Scientist,What is multicollinearity?,multicollinearity,Hard,"multicollinearity is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
Data Scientist,How do you handle large datasets?,"do,you,handle,large,datasets",Hard,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
Data Scientist,Explain advanced feature engineering.,"advanced,feature,engineering",Hard,"advanced feature engineering. can be explained by discussing its purpose, working mechanism, advantages, challenges, and practical applications in AI and data science."
AI Engineer,What is NLP?,nlp,Easy,"NLP is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is Deep Learning?,"deep,learning",Easy,"Deep Learning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is Machine Learning?,"machine,learning",Easy,"Machine Learning is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is a Neural Network?,"neural,network",Easy,"a Neural Network is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is Prompt Engineering?,"prompt,engineering",Easy,"Prompt Engineering is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What are Embeddings?,"are,embeddings",Easy,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
AI Engineer,What is Generative AI?,"generative,ai",Easy,"Generative AI is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is a chatbot?,chatbot,Easy,"a chatbot is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is computer vision?,"computer,vision",Easy,"computer vision is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What is tokenization?,tokenization,Easy,"tokenization is an important concept in artificial intelligence, machine learning, or data science. It involves understanding its principles, applications, advantages, limitations, and real-world use cases."
AI Engineer,What are Transformers?,"are,transformers",Medium,"A complete answer should define the concept, explain how it works, discuss advantages and limitations, and provide practical examples."
