role,question,expected_keywords,difficulty,ideal_answer
Data Scientist,What is overfitting?,,Easy,
Data Scientist,What is underfitting?,,Easy,
Data Scientist,What is regression?,,Easy,
Data Scientist,What is classification?,,Easy,
Data Scientist,What is precision?,,Easy,
Data Scientist,What is recall?,,Easy,
Data Scientist,What is accuracy?,,Easy,
Data Scientist,What is feature engineering?,,Easy,
Data Scientist,What is a dataset?,,Easy,
Data Scientist,What is data preprocessing?,,Easy,
Data Scientist,What is cross validation?,,Medium,
Data Scientist,What is feature selection?,,Medium,
Data Scientist,What is bias variance tradeoff?,,Medium,
Data Scientist,Explain confusion matrix.,,Medium,
Data Scientist,What is ROC AUC?,,Medium,
Data Scientist,What is imbalanced data?,,Medium,
Data Scientist,What is ensemble learning?,,Medium,
Data Scientist,Explain decision trees.,,Medium,
Data Scientist,What is model evaluation?,,Medium,
Data Scientist,What is dimensionality reduction?,,Medium,
Data Scientist,Explain PCA.,,Hard,
Data Scientist,Explain SHAP values.,,Hard,
Data Scientist,What is data leakage?,,Hard,
Data Scientist,How would you optimize a model?,,Hard,
Data Scientist,Explain Bayesian optimization.,,Hard,
Data Scientist,What is concept drift?,,Hard,
Data Scientist,Explain statistical significance.,,Hard,
Data Scientist,What is multicollinearity?,,Hard,
Data Scientist,How do you handle large datasets?,,Hard,
Data Scientist,Explain advanced feature engineering.,,Hard,
AI Engineer,What is NLP?,,Easy,
AI Engineer,What is Deep Learning?,,Easy,
AI Engineer,What is Machine Learning?,,Easy,
AI Engineer,What is a Neural Network?,,Easy,
AI Engineer,What is Prompt Engineering?,,Easy,
AI Engineer,What are Embeddings?,,Easy,
AI Engineer,What is Generative AI?,,Easy,
AI Engineer,What is a chatbot?,,Easy,
AI Engineer,What is computer vision?,,Easy,
AI Engineer,What is tokenization?,,Easy,
AI Engineer,What are Transformers?,,Medium,
AI Engineer,What is an LLM?,,Medium,
AI Engineer,Difference between CNN and RNN?,,Medium,
AI Engineer,What is fine tuning?,,Medium,
AI Engineer,What is transfer learning?,,Medium,
AI Engineer,Explain attention mechanism.,,Medium,
AI Engineer,What is vector search?,,Medium,
AI Engineer,What is semantic similarity?,,Medium,
AI Engineer,How do LLMs work?,,Medium,
AI Engineer,What is Retrieval Augmented Generation?,,Medium,
AI Engineer,Explain self-attention mathematically.,,Hard,
AI Engineer,How would you reduce hallucinations?,,Hard,
AI Engineer,What is RLHF?,,Hard,
AI Engineer,Explain LoRA.,,Hard,
AI Engineer,What is model quantization?,,Hard,
AI Engineer,How would you deploy an LLM?,,Hard,
AI Engineer,Explain multi-agent AI systems.,,Hard,
AI Engineer,What is chain-of-thought reasoning?,,Hard,
AI Engineer,Explain prompt injection attacks.,,Hard,
AI Engineer,How do embeddings work internally?,,Hard,
Machine Learning Engineer,What is supervised learning?,,Easy,
Machine Learning Engineer,What is unsupervised learning?,,Easy,
Machine Learning Engineer,What is reinforcement learning?,,Easy,
Machine Learning Engineer,What is Random Forest?,,Easy,
Machine Learning Engineer,What is XGBoost?,,Easy,
Machine Learning Engineer,What is gradient descent?,,Easy,
Machine Learning Engineer,What is model deployment?,,Easy,
Machine Learning Engineer,What is hyperparameter tuning?,,Easy,
Machine Learning Engineer,What is feature selection?,,Easy,
Machine Learning Engineer,What is clustering?,,Easy,
Machine Learning Engineer,Explain regularization.,,Medium,
Machine Learning Engineer,What is bagging?,,Medium,
Machine Learning Engineer,What is boosting?,,Medium,
Machine Learning Engineer,What is k-means?,,Medium,
Machine Learning Engineer,What is logistic regression?,,Medium,
Machine Learning Engineer,What is linear regression?,,Medium,
Machine Learning Engineer,Explain cross validation.,,Medium,
Machine Learning Engineer,What is GridSearchCV?,,Medium,
Machine Learning Engineer,What is model drift?,,Medium,
Machine Learning Engineer,What is feature scaling?,,Medium,
Machine Learning Engineer,Explain distributed training.,,Hard,
Machine Learning Engineer,How would you optimize inference speed?,,Hard,
Machine Learning Engineer,Explain model monitoring.,,Hard,
Machine Learning Engineer,What is online learning?,,Hard,
Machine Learning Engineer,How would you handle concept drift?,,Hard,
Machine Learning Engineer,Explain AutoML.,,Hard,
Machine Learning Engineer,What is Bayesian learning?,,Hard,
Machine Learning Engineer,How would you deploy ML at scale?,,Hard,
Machine Learning Engineer,Explain feature stores.,,Hard,
Machine Learning Engineer,What is MLOps?,,Hard,
Data Analyst,What is data cleaning?,,Easy,
Data Analyst,What is EDA?,,Easy,
Data Analyst,What is a KPI?,,Easy,
Data Analyst,What is SQL?,,Easy,
Data Analyst,What is Excel?,,Easy,
Data Analyst,What is a dashboard?,,Easy,
Data Analyst,What is a chart?,,Easy,
Data Analyst,What is business intelligence?,,Easy,
Data Analyst,What is data visualization?,,Easy,
Data Analyst,What is aggregation?,,Easy,
Data Analyst,What is normalization?,,Medium,
Data Analyst,What is a JOIN?,,Medium,
Data Analyst,Explain GROUP BY.,,Medium,
Data Analyst,What is a pivot table?,,Medium,
Data Analyst,What is ETL?,,Medium,
Data Analyst,What is a warehouse?,,Medium,
Data Analyst,Explain data pipelines.,,Medium,
Data Analyst,What is A/B testing?,,Medium,
Data Analyst,What is segmentation?,,Medium,
Data Analyst,What is trend analysis?,,Medium,
Data Analyst,How would you analyze customer churn?,,Hard,
Data Analyst,How would you build a KPI framework?,,Hard,
Data Analyst,Explain cohort analysis.,,Hard,
Data Analyst,What is forecasting?,,Hard,
Data Analyst,Explain attribution modeling.,,Hard,
Data Analyst,How would you measure business growth?,,Hard,
Data Analyst,What is statistical significance?,,Hard,
Data Analyst,How would you design an analytics system?,,Hard,
